number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed
4,image1.pgm,54,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,62,0,abe-a-07,LINUX64,1000,49,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,51,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,61,0,abe-a-12,LINUX64,1000,61,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,50,0,abe-a-14,LINUX64,1000
4,image1.pgm,46,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,67,0,abe-a-07,LINUX64,1000,52,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,54,48,0,abe-a-12,LINUX64,1000,48,0,abe-a-12,LINUX64,1000,60,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,54,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,51,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,62,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,53,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,50,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,59,0,abe-a-14,LINUX64,1000
4,image1.pgm,54,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,59,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,53,0,abe-a-12,LINUX64,1000,53,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,51,0,abe-a-07,LINUX64,1000,59,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,51,0,abe-a-12,LINUX64,1000,51,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,53,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,51,0,abe-a-14,LINUX64,1000
4,image1.pgm,47,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,66,0,abe-a-07,LINUX64,1000,47,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,65,0,abe-a-12,LINUX64,1000,65,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,53,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,51,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,51,0,abe-a-12,LINUX64,1000,51,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,64,0,abe-a-07,LINUX64,1000,52,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,49,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,59,0,abe-a-12,LINUX64,1000,59,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,59,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,51,0,abe-a-07,LINUX64,1000,59,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,50,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,55,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,50,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,55,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,51,0,abe-a-12,LINUX64,1000,51,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,53,53,0,abe-a-12,LINUX64,1000,53,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,59,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,49,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,50,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,53,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,59,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,47,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,50,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,52,0,abe-a-12,LINUX64,1000,52,0,abe-a-12,LINUX64,1000,60,0,abe-a-07,LINUX64,1000,50,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,50,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,51,0,abe-a-12,LINUX64,1000,51,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,57,0,abe-a-14,LINUX64,1000
4,image1.pgm,36,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,52,0,abe-a-14,LINUX64,1000
4,image1.pgm,42,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,53,0,abe-a-12,LINUX64,1000,53,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,45,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,45,63,0,abe-a-12,LINUX64,1000,63,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,53,0,abe-a-12,LINUX64,1000,53,0,abe-a-12,LINUX64,1000,60,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,59,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,44,53,0,abe-a-12,LINUX64,1000,53,0,abe-a-12,LINUX64,1000,61,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,46,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,53,0,abe-a-07,LINUX64,1000,52,0,abe-a-14,LINUX64,1000
4,image1.pgm,43,53,0,abe-a-12,LINUX64,1000,53,0,abe-a-12,LINUX64,1000,59,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,43,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,52,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,55,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,60,0,abe-a-12,LINUX64,1000,60,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,46,53,0,abe-a-12,LINUX64,1000,53,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,61,0,abe-a-14,LINUX64,1000
4,image1.pgm,47,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,55,0,abe-a-12,LINUX64,1000,55,0,abe-a-12,LINUX64,1000,59,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,55,57,0,abe-a-12,LINUX64,1000,57,0,abe-a-12,LINUX64,1000,54,0,abe-a-07,LINUX64,1000,59,0,abe-a-14,LINUX64,1000
4,image1.pgm,54,62,0,abe-a-12,LINUX64,1000,62,0,abe-a-12,LINUX64,1000,49,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,46,66,0,abe-a-12,LINUX64,1000,66,0,abe-a-12,LINUX64,1000,47,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,42,46,0,abe-a-12,LINUX64,1000,46,0,abe-a-12,LINUX64,1000,65,0,abe-a-07,LINUX64,1000,54,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,51,0,abe-a-07,LINUX64,1000,58,0,abe-a-14,LINUX64,1000
4,image1.pgm,51,58,0,abe-a-12,LINUX64,1000,58,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,53,0,abe-a-14,LINUX64,1000
4,image1.pgm,49,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,52,0,abe-a-14,LINUX64,1000
4,image1.pgm,52,54,0,abe-a-12,LINUX64,1000,54,0,abe-a-12,LINUX64,1000,58,0,abe-a-07,LINUX64,1000,56,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,61,0,abe-a-12,LINUX64,1000,61,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,48,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,57,0,abe-a-07,LINUX64,1000,55,0,abe-a-14,LINUX64,1000
4,image1.pgm,50,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-12,LINUX64,1000,56,0,abe-a-07,LINUX64,1000,50,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,123,124,10,abe-a-12,LINUX64,1000,124,10,abe-a-12,LINUX64,1000,131,0,abe-a-07,LINUX64,1000,119,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,123,123,0,abe-a-12,LINUX64,1000,123,0,abe-a-12,LINUX64,1000,130,0,abe-a-07,LINUX64,1000,128,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,101,139,0,abe-a-12,LINUX64,1000,139,0,abe-a-12,LINUX64,1000,127,10,abe-a-07,LINUX64,1000,122,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,121,124,10,abe-a-12,LINUX64,1000,124,10,abe-a-12,LINUX64,1000,127,0,abe-a-07,LINUX64,1000,125,0,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,126,121,0,abe-a-12,LINUX64,1000,121,0,abe-a-12,LINUX64,1000,125,10,abe-a-07,LINUX64,1000,128,10,abe-a-14,LINUX64,1000
4,MontagneFoncee.pgm,125,132,10,abe-a-12,LINUX64,1000,132,10,abe-a-12,LINUX64,1000,124,10,abe-a-07,LINUX64,1000,121,10,abe-a-14,LINUX64,1000
